year,number,date,month,state
"2005",22,2005-01-01,"April","Paraiba"
"2006",49,2006-01-01,"April","Paraiba"
"2007",14,2007-01-01,"April","Paraiba"
"2008",62,2008-01-01,"April","Paraiba"
"2009",80,2009-01-01,"April","Paraiba"
"2010",71,2010-01-01,"April","Paraiba"
"2011",38,2011-01-01,"April","Paraiba"
"2012",38,2012-01-01,"April","Paraiba"
"2013",72,2013-01-01,"April","Paraiba"
"2014",38,2014-01-01,"April","Paraiba"
"2015",83,2015-01-01,"April","Paraiba"
"2016",167,2016-01-01,"April","Paraiba"
"2017",77,2017-01-01,"April","Paraiba"
"1998",0,1998-01-01,"May","Paraiba"
"1999",57,1999-01-01,"May","Paraiba"
"2000",43,2000-01-01,"May","Paraiba"
"2001",26,2001-01-01,"May","Paraiba"
"2002",65,2002-01-01,"May","Paraiba"
"2003",115,2003-01-01,"May","Paraiba"
"2004",9,2004-01-01,"May","Paraiba"
"2005",125,2005-01-01,"May","Paraiba"
"2006",90,2006-01-01,"May","Paraiba"
"2007",14,2007-01-01,"May","Paraiba"
"2008",41,2008-01-01,"May","Paraiba"
"2009",117,2009-01-01,"May","Paraiba"
"2010",39,2010-01-01,"May","Paraiba"
"2011",97,2011-01-01,"May","Paraiba"
"2012",86,2012-01-01,"May","Paraiba"
"2013",85,2013-01-01,"May","Paraiba"
"2014",109,2014-01-01,"May","Paraiba"
"2015",77,2015-01-01,"May","Paraiba"
"2016",72,2016-01-01,"May","Paraiba"
"2017",49,2017-01-01,"May","Paraiba"
"1998",36,1998-01-01,"June","Paraiba"
"1999",31,1999-01-01,"June","Paraiba"
"2000",53,2000-01-01,"June","Paraiba"
"2001",43,2001-01-01,"June","Paraiba"
"2002",115,2002-01-01,"June","Paraiba"
"2003",159,2003-01-01,"June","Paraiba"
"2004",147,2004-01-01,"June","Paraiba"
"2005",114,2005-01-01,"June","Paraiba"
"2006",62,2006-01-01,"June","Paraiba"
"2007",57,2007-01-01,"June","Paraiba"
"2008",17,2008-01-01,"June","Paraiba"
"2009",105,2009-01-01,"June","Paraiba"
"2010",55,2010-01-01,"June","Paraiba"
"2011",162,2011-01-01,"June","Paraiba"
"2012",77,2012-01-01,"June","Paraiba"
"2013",52,2013-01-01,"June","Paraiba"
"2014",112,2014-01-01,"June","Paraiba"
"2015",201,2015-01-01,"June","Paraiba"
"2016",238,2016-01-01,"June","Paraiba"
"2017",169,2017-01-01,"June","Paraiba"
"1998",59,1998-01-01,"July","Paraiba"
"1999",94,1999-01-01,"July","Paraiba"
"2000",98,2000-01-01,"July","Paraiba"
"2001",122,2001-01-01,"July","Paraiba"
"2002",172,2002-01-01,"July","Paraiba"
"2003",101,2003-01-01,"July","Paraiba"
"2004",148,2004-01-01,"July","Paraiba"
"2005",155,2005-01-01,"July","Paraiba"
"2006",139,2006-01-01,"July","Paraiba"
"2007",60,2007-01-01,"July","Paraiba"
"2008",87,2008-01-01,"July","Paraiba"
"2009",34,2009-01-01,"July","Paraiba"
"2010",196,2010-01-01,"July","Paraiba"
"2011",262,2011-01-01,"July","Paraiba"
"2012",111,2012-01-01,"July","Paraiba"
"2013",168,2013-01-01,"July","Paraiba"
"2014",215,2014-01-01,"July","Paraiba"
"2015",137,2015-01-01,"July","Paraiba"
"2016",504,2016-01-01,"July","Paraiba"
"2017",891,2017-01-01,"July","Paraiba"
"1998",42,1998-01-01,"August","Paraiba"
"1999",938,1999-01-01,"August","Paraiba"
"2000",849,2000-01-01,"August","Paraiba"
"2001",342,2001-01-01,"August","Paraiba"
"2002",1593,2002-01-01,"August","Paraiba"
"2003",1896,2003-01-01,"August","Paraiba"
"2004",1237,2004-01-01,"August","Paraiba"
"2005",800,2005-01-01,"August","Paraiba"
"2006",844,2006-01-01,"August","Paraiba"
"2007",580,2007-01-01,"August","Paraiba"
"2008",205,2008-01-01,"August","Paraiba"
"2009",844,2009-01-01,"August","Paraiba"
"2010",733,2010-01-01,"August","Paraiba"
"2011",435,2011-01-01,"August","Paraiba"
"2012",522,2012-01-01,"August","Paraiba"
"2013",481,2013-01-01,"August","Paraiba"
"2014",646,2014-01-01,"August","Paraiba"
"2015",651,2015-01-01,"August","Paraiba"
"2016",1010,2016-01-01,"August","Paraiba"
"2017",987,2017-01-01,"August","Paraiba"
"1998",61,1998-01-01,"September","Paraiba"
"1999",878,1999-01-01,"September","Paraiba"
"2000",381,2000-01-01,"September","Paraiba"
"2001",258,2001-01-01,"September","Paraiba"
"2002",1071,2002-01-01,"September","Paraiba"
"2003",2446,2003-01-01,"September","Paraiba"
"2004",1360,2004-01-01,"September","Paraiba"
"2005",386,2005-01-01,"September","Paraiba"
"2006",866,2006-01-01,"September","Paraiba"
"2007",960,2007-01-01,"September","Paraiba"
"2008",413,2008-01-01,"September","Paraiba"
"2009",149,2009-01-01,"September","Paraiba"
"2010",270,2010-01-01,"September","Paraiba"
"2011",913,2011-01-01,"September","Paraiba"
"2012",459,2012-01-01,"September","Paraiba"
"2013",476,2013-01-01,"September","Paraiba"
"2014",443,2014-01-01,"September","Paraiba"
"2015",599,2015-01-01,"September","Paraiba"
"2016",1371,2016-01-01,"September","Paraiba"
"2017",1706,2017-01-01,"September","Paraiba"
"1998",61,1998-01-01,"October","Paraiba"
"1999",452,1999-01-01,"October","Paraiba"
"2000",658,2000-01-01,"October","Paraiba"
"2001",209,2001-01-01,"October","Paraiba"
"2002",399,2002-01-01,"October","Paraiba"
"2003",1228,2003-01-01,"October","Paraiba"
"2004",666,2004-01-01,"October","Paraiba"
"2005",157,2005-01-01,"October","Paraiba"
"2006",327,2006-01-01,"October","Paraiba"
"2007",194,2007-01-01,"October","Paraiba"
"2008",78,2008-01-01,"October","Paraiba"
"2009",424,2009-01-01,"October","Paraiba"
"2010",230,2010-01-01,"October","Paraiba"
"2011",256,2011-01-01,"October","Paraiba"
"2012",145,2012-01-01,"October","Paraiba"
"2013",233,2013-01-01,"October","Paraiba"
"2014",411,2014-01-01,"October","Paraiba"
"2015",158,2015-01-01,"October","Paraiba"
"2016",193,2016-01-01,"October","Paraiba"
"2017",134,2017-01-01,"October","Paraiba"
"1998",143,1998-01-01,"November","Paraiba"
"1999",447,1999-01-01,"November","Paraiba"
"2000",85,2000-01-01,"November","Paraiba"
"2001",89,2001-01-01,"November","Paraiba"
"2002",425,2002-01-01,"November","Paraiba"
"2003",503,2003-01-01,"November","Paraiba"
"2004",388,2004-01-01,"November","Paraiba"
"2005",597,2005-01-01,"November","Paraiba"
"2006",60,2006-01-01,"November","Paraiba"
"2007",59,2007-01-01,"November","Paraiba"
"2008",39,2008-01-01,"November","Paraiba"
"2009",90,2009-01-01,"November","Paraiba"
"2010",183,2010-01-01,"November","Paraiba"
"2011",138,2011-01-01,"November","Paraiba"
"2012",142,2012-01-01,"November","Paraiba"
"2013",126,2013-01-01,"November","Paraiba"
"2014",68,2014-01-01,"November","Paraiba"
"2015",18,2015-01-01,"November","Paraiba"
"2016",275,2016-01-01,"November","Paraiba"
"2017",292,2017-01-01,"November","Paraiba"
"1998",82,1998-01-01,"December","Paraiba"
"1999",254,1999-01-01,"December","Paraiba"
"2000",159,2000-01-01,"December","Paraiba"
"2001",85,2001-01-01,"December","Paraiba"
"2002",165,2002-01-01,"December","Paraiba"
"2003",171,2003-01-01,"December","Paraiba"
"2004",151,2004-01-01,"December","Paraiba"
"2005",40,2005-01-01,"December","Paraiba"
"2006",6,2006-01-01,"December","Paraiba"
"2007",22,2007-01-01,"December","Paraiba"
"2008",62,2008-01-01,"December","Paraiba"
"2009",30,2009-01-01,"December","Paraiba"
"2010",37,2010-01-01,"December","Paraiba"
"2011",78,2011-01-01,"December","Paraiba"
"2012",54,2012-01-01,"December","Paraiba"
"2013",155,2013-01-01,"December","Paraiba"
"2014",78,2014-01-01,"December","Paraiba"
"2015",30,2015-01-01,"December","Paraiba"
"2016",45,2016-01-01,"December","Paraiba"
"1998",0,1998-01-01,"January","Pernambuco"
"1999",102,1999-01-01,"January","Pernambuco"
"2000",3,2000-01-01,"January","Pernambuco"
"2001",7,2001-01-01,"January","Pernambuco"
"2002",10,2002-01-01,"January","Pernambuco"
"2003",188,2003-01-01,"January","Pernambuco"
"2004",29,2004-01-01,"January","Pernambuco"
"2005",221,2005-01-01,"January","Pernambuco"
"2006",148,2006-01-01,"January","Pernambuco"
"2007",156,2007-01-01,"January","Pernambuco"
"2008",170,2008-01-01,"January","Pernambuco"
"2009",256,2009-01-01,"January","Pernambuco"
"2010",47,2010-01-01,"January","Pernambuco"
"2011",49,2011-01-01,"January","Pernambuco"
"2012",146,2012-01-01,"January","Pernambuco"
"2013",55,2013-01-01,"January","Pernambuco"
"2014",99,2014-01-01,"January","Pernambuco"
"2015",109,2015-01-01,"January","Pernambuco"
"2016",24,2016-01-01,"January","Pernambuco"
"2017",52,2017-01-01,"January","Pernambuco"
"1998",0,1998-01-01,"February","Pernambuco"
"1999",13,1999-01-01,"February","Pernambuco"
"2000",4,2000-01-01,"February","Pernambuco"
"2001",2,2001-01-01,"February","Pernambuco"
"2002",19,2002-01-01,"February","Pernambuco"
"2003",35,2003-01-01,"February","Pernambuco"
"2004",8,2004-01-01,"February","Pernambuco"
"2005",33,2005-01-01,"February","Pernambuco"
"2006",41,2006-01-01,"February","Pernambuco"
"2007",21,2007-01-01,"February","Pernambuco"
"2008",48,2008-01-01,"February","Pernambuco"
"2009",28,2009-01-01,"February","Pernambuco"
"2010",33,2010-01-01,"February","Pernambuco"
"2011",25,2011-01-01,"February","Pernambuco"
"2012",64,2012-01-01,"February","Pernambuco"
"2013",29,2013-01-01,"February","Pernambuco"
"2014",25,2014-01-01,"February","Pernambuco"
"2015",55,2015-01-01,"February","Pernambuco"
"2016",19,2016-01-01,"February","Pernambuco"
"2017",23,2017-01-01,"February","Pernambuco"
"1998",0,1998-01-01,"March","Pernambuco"
"1999",27,1999-01-01,"March","Pernambuco"
"2000",14,2000-01-01,"March","Pernambuco"
"2001",0,2001-01-01,"March","Pernambuco"
"2002",24,2002-01-01,"March","Pernambuco"
"2003",9,2003-01-01,"March","Pernambuco"
"2004",6,2004-01-01,"March","Pernambuco"
"2005",45,2005-01-01,"March","Pernambuco"
"2006",18,2006-01-01,"March","Pernambuco"
"2007",4,2007-01-01,"March","Pernambuco"
"2008",32,2008-01-01,"March","Pernambuco"
"2009",15,2009-01-01,"March","Pernambuco"
"2010",59,2010-01-01,"March","Pernambuco"
"2011",39,2011-01-01,"March","Pernambuco"
"2012",44,2012-01-01,"March","Pernambuco"
"2013",40,2013-01-01,"March","Pernambuco"
"2014",36,2014-01-01,"March","Pernambuco"
"2015",33,2015-01-01,"March","Pernambuco"
"2016",4,2016-01-01,"March","Pernambuco"
"2017",7,2017-01-01,"March","Pernambuco"
"1998",0,1998-01-01,"April","Pernambuco"
"1999",2,1999-01-01,"April","Pernambuco"
"2000",1,2000-01-01,"April","Pernambuco"
"2001",2,2001-01-01,"April","Pernambuco"
"2002",5,2002-01-01,"April","Pernambuco"
"2003",7,2003-01-01,"April","Pernambuco"
"2004",5,2004-01-01,"April","Pernambuco"
"2005",1,2005-01-01,"April","Pernambuco"
"2006",2,2006-01-01,"April","Pernambuco"
"2007",1,2007-01-01,"April","Pernambuco"
"2008",5,2008-01-01,"April","Pernambuco"
"2009",3,2009-01-01,"April","Pernambuco"
"2010",2,2010-01-01,"April","Pernambuco"
"2011",22,2011-01-01,"April","Pernambuco"
"2012",46,2012-01-01,"April","Pernambuco"
"2013",11,2013-01-01,"April","Pernambuco"
"2014",10,2014-01-01,"April","Pernambuco"
"2015",30,2015-01-01,"April","Pernambuco"
"2016",8,2016-01-01,"April","Pernambuco"
"2017",9,2017-01-01,"April","Pernambuco"
"1998",0,1998-01-01,"May","Pernambuco"
"1999",6,1999-01-01,"May","Pernambuco"
"2000",7,2000-01-01,"May","Pernambuco"
"2001",5,2001-01-01,"May","Pernambuco"
"2002",13,2002-01-01,"May","Pernambuco"
"2003",1,2003-01-01,"May","Pernambuco"
"2004",2,2004-01-01,"May","Pernambuco"
"2005",1,2005-01-01,"May","Pernambuco"
"2006",1,2006-01-01,"May","Pernambuco"
"2007",0,2007-01-01,"May","Pernambuco"
"2008",0,2008-01-01,"May","Pernambuco"
"2009",0,2009-01-01,"May","Pernambuco"
"2010",8,2010-01-01,"May","Pernambuco"
"2011",1,2011-01-01,"May","Pernambuco"
"2012",36,2012-01-01,"May","Pernambuco"
"2013",9,2013-01-01,"May","Pernambuco"
"2014",4,2014-01-01,"May","Pernambuco"
"2015",17,2015-01-01,"May","Pernambuco"
"2016",6,2016-01-01,"May","Pernambuco"
"2017",13,2017-01-01,"May","Pernambuco"
"1998",1,1998-01-01,"June","Pernambuco"
"1999",7,1999-01-01,"June","Pernambuco"
"2000",4,2000-01-01,"June","Pernambuco"
"2001",2,2001-01-01,"June","Pernambuco"
"2002",1,2002-01-01,"June","Pernambuco"
"2003",2,2003-01-01,"June","Pernambuco"
"2004",4,2004-01-01,"June","Pernambuco"
"2005",3,2005-01-01,"June","Pernambuco"
"2006",0,2006-01-01,"June","Pernambuco"
"2007",1,2007-01-01,"June","Pernambuco"
"2008",0,2008-01-01,"June","Pernambuco"
"2009",1,2009-01-01,"June","Pernambuco"
"2010",1,2010-01-01,"June","Pernambuco"
"2011",4,2011-01-01,"June","Pernambuco"
"2012",12,2012-01-01,"June","Pernambuco"
"2013",12,2013-01-01,"June","Pernambuco"
"2014",3,2014-01-01,"June","Pernambuco"
"2015",3,2015-01-01,"June","Pernambuco"
"2016",4,2016-01-01,"June","Pernambuco"
"2017",5,2017-01-01,"June","Pernambuco"
"1998",5,1998-01-01,"July","Pernambuco"
"1999",2,1999-01-01,"July","Pernambuco"
"2000",0,2000-01-01,"July","Pernambuco"
"2001",6,2001-01-01,"July","Pernambuco"
"2002",8,2002-01-01,"July","Pernambuco"
"2003",5,2003-01-01,"July","Pernambuco"
"2004",13,2004-01-01,"July","Pernambuco"
"2005",1,2005-01-01,"July","Pernambuco"
"2006",1,2006-01-01,"July","Pernambuco"
"2007",3,2007-01-01,"July","Pernambuco"
"2008",0,2008-01-01,"July","Pernambuco"
"2009",1,2009-01-01,"July","Pernambuco"
"2010",7,2010-01-01,"July","Pernambuco"
"2011",2,2011-01-01,"July","Pernambuco"
"2012",11,2012-01-01,"July","Pernambuco"
"2013",4,2013-01-01,"July","Pernambuco"
"2014",11,2014-01-01,"July","Pernambuco"
"2015",13,2015-01-01,"July","Pernambuco"
"2016",17,2016-01-01,"July","Pernambuco"
"2017",2,2017-01-01,"July","Pernambuco"
"1998",12,1998-01-01,"August","Pernambuco"
"1999",3,1999-01-01,"August","Pernambuco"
"2000",31,2000-01-01,"August","Pernambuco"
"2001",27,2001-01-01,"August","Pernambuco"
"2002",37,2002-01-01,"August","Pernambuco"
"2003",26,2003-01-01,"August","Pernambuco"
"2004",41,2004-01-01,"August","Pernambuco"
"2005",10,2005-01-01,"August","Pernambuco"
"2006",8,2006-01-01,"August","Pernambuco"
"2007",20,2007-01-01,"August","Pernambuco"
"2008",2,2008-01-01,"August","Pernambuco"
"2009",10,2009-01-01,"August","Pernambuco"
"2010",29,2010-01-01,"August","Pernambuco"
"2011",27,2011-01-01,"August","Pernambuco"
"2012",27,2012-01-01,"August","Pernambuco"
"2013",14,2013-01-01,"August","Pernambuco"
"2014",23,2014-01-01,"August","Pernambuco"
"2015",21,2015-01-01,"August","Pernambuco"
"2016",42,2016-01-01,"August","Pernambuco"
"2017",20,2017-01-01,"August","Pernambuco"
"1998",177,1998-01-01,"September","Pernambuco"
"1999",64,1999-01-01,"September","Pernambuco"
"2000",130,2000-01-01,"September","Pernambuco"
"2001",298,2001-01-01,"September","Pernambuco"
"2002",374,2002-01-01,"September","Pernambuco"
"2003",510,2003-01-01,"September","Pernambuco"
"2004",192,2004-01-01,"September","Pernambuco"
"2005",154,2005-01-01,"September","Pernambuco"
"2006",147,2006-01-01,"September","Pernambuco"
"2007",164,2007-01-01,"September","Pernambuco"
"2008",92,2008-01-01,"September","Pernambuco"
"2009",164,2009-01-01,"September","Pernambuco"
"2010",179,2010-01-01,"September","Pernambuco"
"2011",243,2011-01-01,"September","Pernambuco"
"2012",192,2012-01-01,"September","Pernambuco"
"2013",143,2013-01-01,"September","Pernambuco"
"2014",63,2014-01-01,"September","Pernambuco"
"2015",116,2015-01-01,"September","Pernambuco"
"2016",171,2016-01-01,"September","Pernambuco"
"2017",69,2017-01-01,"September","Pernambuco"
"1998",372,1998-01-01,"October","Pernambuco"
"1999",180,1999-01-01,"October","Pernambuco"
"2000",411,2000-01-01,"October","Pernambuco"
"2001",461,2001-01-01,"October","Pernambuco"
"2002",638,2002-01-01,"October","Pernambuco"
"2003",859,2003-01-01,"October","Pernambuco"
"2004",545,2004-01-01,"October","Pernambuco"
"2005",408,2005-01-01,"October","Pernambuco"
"2006",310,2006-01-01,"October","Pernambuco"
"2007",702,2007-01-01,"October","Pernambuco"
"2008",274,2008-01-01,"October","Pernambuco"
"2009",254,2009-01-01,"October","Pernambuco"
"2010",347,2010-01-01,"October","Pernambuco"
"2011",461,2011-01-01,"October","Pernambuco"
"2012",222,2012-01-01,"October","Pernambuco"
"2013",161,2013-01-01,"October","Pernambuco"
"2014",174,2014-01-01,"October","Pernambuco"
"2015",194,2015-01-01,"October","Pernambuco"
"2016",319,2016-01-01,"October","Pernambuco"
"2017",256,2017-01-01,"October","Pernambuco"
"1998",141,1998-01-01,"November","Pernambuco"
"1999",41,1999-01-01,"November","Pernambuco"
"2000",64,2000-01-01,"November","Pernambuco"
"2001",208,2001-01-01,"November","Pernambuco"
"2002",521,2002-01-01,"November","Pernambuco"
"2003",560,2003-01-01,"November","Pernambuco"
"2004",465,2004-01-01,"November","Pernambuco"
"2005",452,2005-01-01,"November","Pernambuco"
"2006",385,2006-01-01,"November","Pernambuco"
"2007",359,2007-01-01,"November","Pernambuco"
"2008",363,2008-01-01,"November","Pernambuco"
"2009",486,2009-01-01,"November","Pernambuco"
"2010",831,2010-01-01,"November","Pernambuco"
"2011",352,2011-01-01,"November","Pernambuco"
"2012",181,2012-01-01,"November","Pernambuco"
"2013",110,2013-01-01,"November","Pernambuco"
"2014",111,2014-01-01,"November","Pernambuco"
"2015",315,2015-01-01,"November","Pernambuco"
"2016",191,2016-01-01,"November","Pernambuco"
"2017",66,2017-01-01,"November","Pernambuco"
"1998",59,1998-01-01,"December","Pernambuco"
"1999",16,1999-01-01,"December","Pernambuco"
"2000",22,2000-01-01,"December","Pernambuco"
"2001",62,2001-01-01,"December","Pernambuco"
"2002",259,2002-01-01,"December","Pernambuco"
"2003",229,2003-01-01,"December","Pernambuco"
"2004",373,2004-01-01,"December","Pernambuco"
"2005",191,2005-01-01,"December","Pernambuco"
"2006",207,2006-01-01,"December","Pernambuco"
"2007",200,2007-01-01,"December","Pernambuco"
"2008",203,2008-01-01,"December","Pernambuco"
"2009",351,2009-01-01,"December","Pernambuco"
"2010",117,2010-01-01,"December","Pernambuco"
"2011",364,2011-01-01,"December","Pernambuco"
"2012",108,2012-01-01,"December","Pernambuco"
"2013",141,2013-01-01,"December","Pernambuco"
"2014",101,2014-01-01,"December","Pernambuco"
"2015",176,2015-01-01,"December","Pernambuco"
"2016",161,2016-01-01,"December","Pernambuco"
"1998",0,1998-01-01,"January","Piau"
"1999",21,1999-01-01,"January","Piau"
"2000",5,2000-01-01,"January","Piau"
"2001",29,2001-01-01,"January","Piau"
"2002",33,2002-01-01,"January","Piau"
"2003",86,2003-01-01,"January","Piau"
"2004",42,2004-01-01,"January","Piau"
"2005",94,2005-01-01,"January","Piau"
"2006",133,2006-01-01,"January","Piau"
"2007",123,2007-01-01,"January","Piau"
"2008",61,2008-01-01,"January","Piau"
"2009",79,2009-01-01,"January","Piau"
"2010",99,2010-01-01,"January","Piau"
"2011",39,2011-01-01,"January","Piau"
"2012",80,2012-01-01,"January","Piau"
"2013",72,2013-01-01,"January","Piau"
"2014",79,2014-01-01,"January","Piau"
"2015",92,2015-01-01,"January","Piau"
"2016",94,2016-01-01,"January","Piau"
"2017",85,2017-01-01,"January","Piau"
"1998",0,1998-01-01,"February","Piau"
"1999",22,1999-01-01,"February","Piau"
"2000",12,2000-01-01,"February","Piau"
"2001",0,2001-01-01,"February","Piau"
"2002",160,2002-01-01,"February","Piau"
"2003",3,2003-01-01,"February","Piau"
"2004",20,2004-01-01,"February","Piau"
"2005",26,2005-01-01,"February","Piau"
"2006",23,2006-01-01,"February","Piau"
"2007",11,2007-01-01,"February","Piau"
"2008",21,2008-01-01,"February","Piau"
"2009",19,2009-01-01,"February","Piau"
"2010",54,2010-01-01,"February","Piau"
"2011",11,2011-01-01,"February","Piau"
"2012",31,2012-01-01,"February","Piau"
"2013",68,2013-01-01,"February","Piau"
"2014",14,2014-01-01,"February","Piau"
"2015",38,2015-01-01,"February","Piau"
"2016",97,2016-01-01,"February","Piau"
"2017",24,2017-01-01,"February","Piau"
"1998",0,1998-01-01,"March","Piau"
"1999",4,1999-01-01,"March","Piau"
"2000",14,2000-01-01,"March","Piau"
"2001",2,2001-01-01,"March","Piau"
"2002",63,2002-01-01,"March","Piau"
"2003",15,2003-01-01,"March","Piau"
"2004",27,2004-01-01,"March","Piau"
"2005",13,2005-01-01,"March","Piau"
"2006",18,2006-01-01,"March","Piau"
"2007",31,2007-01-01,"March","Piau"
"2008",4,2008-01-01,"March","Piau"
"2009",17,2009-01-01,"March","Piau"
"2010",47,2010-01-01,"March","Piau"
"2011",15,2011-01-01,"March","Piau"
"2012",71,2012-01-01,"March","Piau"
"2013",14,2013-01-01,"March","Piau"
"2014",88,2014-01-01,"March","Piau"
"2015",35,2015-01-01,"March","Piau"
"2016",53,2016-01-01,"March","Piau"
"2017",25,2017-01-01,"March","Piau"
"1998",0,1998-01-01,"April","Piau"
"1999",10,1999-01-01,"April","Piau"
"2000",15,2000-01-01,"April","Piau"
"2001",1,2001-01-01,"April","Piau"
"2002",87,2002-01-01,"April","Piau"
